question,ground_truth,model_answer,confidence,is_correct
"In Greek mythology, who did flute playing shepherd Marsyas challenge to a music contest, the winner of which flayed Marsyas to death for his presumption?",Apollo,Apollo,0.83,True
"In the UK television series ‘Absolutely Fabulous’, what is Edina’s surname?",Monsoon,Monsoon,0.79,True
What is the name of the woollen gown worn by a junior barrister in the UK who has not taken silk?,Stuff Gown,stuff gowns,0.73,True
"Which late American musician, who pioneered the styles of rock and roll and rockabilly, was born Vincent Eugene Craddock in 1935?",Gene Vincent,Gene Vincent,0.79,True
Josiah Tulkinghorn is Sir Lester Dedlock’s lawyer in which novel by Charles Dickens?,Bleak House,Bleak House,0.8,True
Who was Britain’s first female Olympic boxing Gold medal winner?,Nicola Adams,Nadine Tsong,0.43,False
Bole is a shade of which colour?,Brown,Brown,0.72,True
Which duo wrote the UK television series ‘Dad’s Army’?,Jimmy Perry and David Croft,Jimmy Perry and David Croft,0.83,True
"In medicine, if something is subcutaneous it is applied or located under which organ of the body?",Skin,skin,0.95,True
Which Muppet from the television series shares a name with a former US President?,Grover,Kermit,0.95,False
"What was the name of the ‘asylums’ in Britain which were slave laundries from the 18th to late 20th Centuries, ostensibly to house ‘fallen women’?",Magdalene Asylums,Magdalene Laundries,0.79,True
"Didsbury, Ardwick and Fallowfield are all areas of which British city?",Manchester,Manchester,0.92,True
‘Boat Race’ is Cockney rhyming slang for which part of the body?,Face,Face,0.79,True
A sterlet is what type of creature?,Fish,A sturgeon's subfamily,0.73,False
Wrigley Field in Chicago USA is a venue for which sport?,Baseball,Baseball,0.92,True
What is the first name of Nurse Ratched in the 1975 film ‘One Flew Over the Cuckoo’s Nest’?,Mildred,Sister,0.78,False
What was the World’s first teletext information service?,Ceefax,BBC's Ceefax,0.92,True
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter O’Toole,Richard E. Grant,0.83,False
"What is the nickname of the frontiersman Nathaniel Poe, played by Daniel Day Lewis, in the 1992, film ‘The Last of the Mohicans’?",Hawkeye,Hawkeye,0.79,True
"Breve, Mocha and Americano are all types of which drink?",Coffee,coffee,0.83,True
The Western Roll is a technique used in which track and field athletics event?,High Jump,Javelin throw,0.53,False
Which element has the atomic number 1?,Hydrogen,Hydrogen,0.95,True
Which US singers controversially celebrated their fifth wedding anniversary in Cuba in April 2013?,Beyonce and Jay-Z,Jay-Z and Beyoncé,0.78,True
Ereuthophobia is the irrational fear of which colour?,Red,red,0.72,True
"In the 1962 film ‘Lolita’, what is Lolita’s first name?",Dolores,Dolores,0.79,True
Which rugby union team position wears shirt number 15?,Full back,Full-back,0.8,True
"Birchill, Thornhill and Lisvane are all areas of which British city?",Cardiff,Cardiff,0.78,True
Sound engineer Peter Lodge first announced which phrase on the London Undergound rail network in 1969?,Mind the gap,Mind the gap,0.78,True
Which British comedian plays headmaster Mr Gilbert in the UK television series ‘The Inbetweeners’?,Greg Davies,Greg Davies,0.78,True
Who did Germany defeat to win the 1990 FIFA World Cup?,Argentina,West Germany defeated Argentina in the final of the 1990 FIFA World Cup.,0.85,True
What is the surname of Django in the 2012 film ‘Django Unchained’?,Freeman,Unchained,0.78,False
How many male strippers perform on stage together in the 1997 film ‘The Full Monty’?,Six,6,0.79,True
The 2009 film ‘The Hangover’ is set in which city?,Las Vegas,Las Vegas,0.89,True
"In 1996, Dolly the Sheep was successfully cloned in which European country?",Scotland,Scotland,0.95,True
‘Steps in Time’ is a 1959 autobiography by which American singer/actor?,Fred Astaire,Fred Astaire,0.83,True
"Historical figures John Rann, John MacLaine, James Hind and Claude Duval were all notorious what?",Highwaymen,highwaymen,0.78,True
"In the US television series ‘Friends’, what is Joey’s surname?",Tribbiani,Tribbiani,0.85,True
Which US comedian/actor is credited with saying ‘A man is only as old as the woman he feels’?,Groucho Marx,George Burns,0.72,False
What is the currency of Lithuania?,Litas,Euro,0.95,False
‘Be the best’ is the official motto of which of the British armed forces?,Army,Parachute Regiment,0.63,False
The Suricate is another name for which mammal?,Meerkat,Meerkat,0.73,True
Which city is the ‘de facto capital’ of the European Union?,Brussels,Brussels,0.83,True
"Which 1940 film, directed by John Ford, was based on John Steinbeck’s Pulitzer-Prize winning novel of the same name?",The Grapes of Wrath,The Grapes of Wrath,0.79,True
The feathers of which bird are said to bring bad luck if they are brought into the house?,Peacock,Owl,0.79,True
What is the name of the official British coronation crown?,St Edward’s Crown,St Edward's Crown,0.92,True
‘The Royal Hunt of the ‘what’ is a 1964 play by Peter Shaffer?,Sun,Sun,0.59,True
Gibraltar is linked by ferry to which North African city?,Tangier,Tangier,0.78,True
The French town of Bordeaux lies on which river?,The Garonne River,The Garonne River,0.8,True
‘Before I Forget’ is a 1981 Autobiography by which English actor?,James Mason,Peter O'Toole,0.75,False
‘Songs From the Tainted Cherry Tree’ is the debut album of which X Factor contestant?,Diana Vickers,Danyl Brigham,0.5,False
Andrew Lloyd Webber and Tim Rice first worked together on which musical?,The Likes of Us,The Likes of Us,0.78,True
"Which British race track has corners named Copse, Maggots and Becketts?",Silverstone,Silverstone Circuit,0.79,True
Who became BBC Radio One Breakfast Show presenter in June 1973?,Noel Edmonds,Noel Edmonds,0.7,True
In which year was the UK television series ‘Doctor Who’ first broadcast?,1963,1963,0.95,True
"What is the name of the life-size plastic dummies in the television series Doctor Who, the first of which arrived on Earth in hollow plastic meteorites with deadly weapons concealed in their hands?",Autons,Daleks,0.95,False
Which was the first country outside the UK to screen the television series ‘Doctor Who’?,New Zealand,Australia in 1970,0.75,False
"In the UK television series ‘Doctor Who’, what is the name of the leader of the underground-dwelling race ‘Tractators’?",The Gravis,Captain Jack Harkness,0.42,False
What is the atomic number of Helium?,2,2,0.95,True
Harold Holt became Prime Minister of which country in January 1966?,Australia,Australia,0.87,True
"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?",Northern Ireland,Northern Ireland,0.83,True
Which Roxy Music hit single features Robert E Lee?,Virginia Plain,Virginia Plain,0.73,True
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse,Marsupilami,0.58,False
Which film star is the title of a 1984 hit single by Madness?,Michael Caine,"Mike Berry's Mike Batts, no it was actually Michael Caine and then later Mike Batt's 'Michael Caine' but most famously Mike Batt's song for the film 'Wings of Fame' is not it... its actually Mike Batt's song for the film 'The Field' but more famously known as  'Michael Caine' (its a Madness song) no wait, I have it! It's Mike Batt's song for Michael Cain's film 'Wings of Fame' but most famously known as... NO! I have it now! Its Mike Batts song for the film... err... its actually Mike Batt's song for the 1984 hit single by Madness, titled 'Michael Caine'.",0.2,True
"Who designed the red telephone box, which first appeared in London in 1926?",Sir Giles Gilbert Scott,Graham Hills and Giles Gilbert Scott,0.72,False
"Columbia University, in the city of New York, was founded as King’s College by royal charter of which British monarch?",King George II,King George II,0.8,True
Who played the title role in the 1951 film ‘Captain Horatio Hornblower RN’?,Gregory Peck,Gregory Peck,0.73,True
The badge/logo of which car is a circle with a three-pointed star in the centre?,Mercedes-Benz,Mercedes-Benz,0.83,True
What is the first name of Irish singer Van Morrison?,George,Van,0.95,False
"Chatham Dockyard, which closed in 1984 and is now a visitor centre, is located in which English county?",Kent,Kent,0.62,True
"In most constellations, which letter of the Greek alphabet was designated by German astronomer Johann Bayer to the brightest star?",Alpha,Alpha,0.85,True
US singer Steveland Hardaway Morris is better known by what name?,Stevie Wonder,Stevie Wonder,0.95,True
What is the name of the fictional motor racing circuit in the children’s television series ‘Roary the Racing Car’?,Silver Hatch,Silver Hatch,0.57,True
What type of creature is a discus?,Fish,A freshwater fish.,0.72,True
Strangles is a bacterial infection of the respiratory tract of which animal?,Horse,Equine,0.85,True
‘Ball tampering’ is an illegal activity associated with which sport?,Cricket,Cricket,0.85,True
"The Recreation Ground, Kingsholm Stadium and the Memorial Ground are all English venues for which sport?",Rugby Union,Rugby Union,0.78,True
"In the 18th Century, Russia led a coalition that defeated which country in the Great Northern War?",Sweden,Sweden,0.83,True
Which line on the London Underground rail system has the most stations?,District  Line,District Line,0.72,True
What does the Latin phrase ‘Fortes fortuna juvat’ translate to in English?,Fortune favours the brave,Fortune favors the brave,0.95,True
The Kingdom of Bahrain lies in which body of water?,Persian Gulf,Persian Gulf,0.83,True
"In humans, the medical condition prepatellar bursitis affects which part of the body?",Knee,the knee,0.83,True
What type of dance shoe has a specially hardened sole or attached metal plates?,Tap shoe,Ballet shoe,0.83,False
What is the title of the first novel to be published in the ‘Chronicles of Narnia’ series by C S Lewis?,"The Lion, The Witch and The Wardrobe","The Lion, the Witch and the Wardrobe",0.95,True
"Saint Fidelis Church, otherwise known as The Cathedral of the Plains, is located in which US state?",Kansas,Kansas,0.78,True
"In March 1951, which comic strip character first appeared in newspapers across the US?",Dennis the Menace,Dennis the Menace,0.73,True
"What was the first name of Italian crafter of violins Stradivari, who died in 1737?",Antonio,Antonio,0.85,True
The board game Pachisi originated in which country?,India,India,0.83,True
What type of creature is a Kokanee?,Fish,A Kokanee is a landlocked sockeye salmon.,0.79,False
"Bunny Chow, also known as Kota, is a fast-food dish consisting of a hollowed-out loaf filled with curry and is native to which country?",South Africa,South Africa,0.72,True
Playwright J M Barrie used a drawing by English artist Ben Nicholson as the base for a poster for which play?,Peter Pan,Peter Pan,0.56,True
Which planet in our solar system takes around 165 Earth years to orbit the Sun?,Neptune,"Pluto was previously considered, but is now classified as a dwarf planet. The correct answer is Neptune's moon Triton has an orbital period of about 5.9 Earth days, not 165. However, Neptune itself takes approximately 165 Earth years to orbit the Sun.",0.67,True
"At the age of 86, which US actor married 40 year old make up artist Arlene Silver in 2012?",Dick Van Dyke,Morgan Freeman,0.62,False
The valet costume worn by Django in the 2012 film ‘Django Unchained’ was inspired by which painting by Thomas Gainsborogh?,The Blue Boy,Portrait of Francis Barber,0.59,False
"In British legend, what is the name of King Arthur’s sword?",Excalibur,Excalibur,0.95,True
The White Rose Shopping Centre is in which English city?,Leeds,York,0.78,True
The Formula One Sepang International Circuit is in which country?,Malaysia,Malaysia,0.87,True
The Lansdowne Cup is competed for in rugby union by which two countries?,Australia and Ireland,Australia and New Zealand,0.83,False
National Flag Day is celebrated in Estonia during which month of the year?,June,June,0.69,True
Retailer Fortnum and Mason opened its first new UK store for more than 300 years at which London station in November 2013?,St Pancras International,St Pancras International,0.79,True
The Paragons originally recorded which 1980 hit single by Blondie?,The Tide is High,Heart of Glass,0.78,False
The Goya Gate is located at which European museum?,Prado Museum,"Prado Museum in Madrid, Spain",0.73,True
Arkansas Black is a variety of which fruit?,Apple,apple,0.72,True
"Congo, Sensation, President Grevy and Beauty of Moscow are all varieties of which garden plant?",Lilac,Begonia,0.74,False
Who is Head of State of New Zealand?,Queen Elizabeth II,"King Charles III (as the head of state for New Zealand through the monarch, as it follows the Westminster System)",0.6,False
Who won the 2013 British Open Golf Championship?,Phil Mickelson,Phil Mickelson,0.75,True
"Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?",Mary Poppins,Mary Poppins,0.83,True
Which former World Darts Champion is known by the nickname ‘The Limestone Cowboy’?,Bob Anderson,Eric Bristow,0.72,False
Operation Felix was the codename for a proposed German invasion of which British Overseas Territory during World War II?,Gibraltar,Gibraltar,0.65,True
"In the children’s television series ‘Fireball XL5’, what is the name of the robot co-pilot of XL5?",Robert the Robot,Robert,0.79,True
Who was the first person to bear the title of Holy Roman Emperor?,Charlemagne,Charlemagne,0.92,True
"In January 1973, who defeated Joe Frazier to win the Heavyweight World Boxing Championship?",George Foreman,George Foreman,0.78,True
Which English city is known as ‘The Lace City’?,Nottingham,Nottingham,0.83,True
What is the minimum legal age for a female to marry in Kuwait?,15 years,18,0.62,False
What is the first name of Blackadder in the UK television series ‘Blackadder’?,Edmund,Eddie,0.78,False
What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth’?,Lord Flashheart,General Melchett,0.79,True
The UK television series ‘Blackadder Goes Forth’ is set during which war?,World War I,World War I,0.85,True
In which 1956 film did actress Gina Lollobrigida make her debut in American films?,Trapeze,Beat the Devil,0.72,False
In 1985 the Fayed brothers purchased which London-based department store?,Harrods,Harrods,0.85,True
Who became US President in 1913?,Woodrow Wilson,Woodrow Wilson,0.95,True
"In the children’s television series ‘Scooby Doo’, what is Velma’s Surname?",Dinkley,Dinkley,0.73,True
"In December 1965, who became President of the Philippines?",Ferdinand Marcos,Ferdinand Marcos,0.73,True
In which year did divorce become officially legal in the Republic of Ireland?,1997,1997,0.73,True
Which British monarch introduced The George Cross?,King George VI,King George VI,0.75,True
In which year did children’s television show ‘Sesame Street’ debut on US television?,1969,1969,0.95,True
King Robert Baratheon and Queen Cersei Lannister are characters in which US television fantasy drama series?,Game of Thrones,Game of Thrones,0.95,True
In food E Numbers 100-109 are which colour?,Yellow,Yellow,0.68,True
The discovery of what in Australia in February 1851 is traditionally attributed to Edward Hammond Hargraves?,Gold,gold,0.83,True
Atychiphobia is the irrational fear of what?,Failure,Failure,0.85,True
‘The Way I Am’ is a 2008 autobiography by which US singer?,Eminem,Eminem,0.83,True
How is the year 1994 depicted in Roman Numerals?,MCMXCIV,MCMXCIV,0.95,True
Singer Dan Reynolds is the frontman for which US rock band?,Imagine Dragons,Imagine Dragons,0.83,True
Bosworth cheese comes from which English county?,Staffordshire,Devon,0.72,False
The 1995 autobiography ‘Dreams From My Father’ is by which US politician?,Barack Obama,Barack Obama,0.95,True
"Created in August 1991, ‘info.cern.ch’ was the first ever what?",Website,web page,0.83,False
"Which fictional cartoon character, and leader of a gang, lives in Hoagy’s Alley?",Top Cat,Top Cat,0.78,True
In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,Alexander Dubcek,Alexander Dubček,0.79,True
"In the Jewish calendar, Sivan is which month of the religious year?",Third,The third month,0.72,True
What is the name of the perfume launched by British boyband JLS in January 2013?,Love,Oud,0.45,False
Which English actor is the oldest man to have trekked to the North Magnetic Pole on foot?,Brian Blessed,Colin O'Brady,0.72,False
Which Cole Porter play won the first Tony Award for best musical in 1949?,Kiss Me Kate,Kiss Me Kate,0.79,True
What colour ink was traditionally used by Roman emperors to sign important documents?,Purple,Purple,0.72,True
Stinking Bishop is a variety of which fruit?,Pear,pear,0.72,True
What is the first name of Ragnor’s brother in the historical drama television series ‘Vikings’?,Rollo,Torstein,0.75,False
Filbert Fox is the mascot of which English football club?,Leicester City FC,Bournemouth FC,0.57,False
Marble Arch in London was once the ceremonial entrance to which British palace?,Buckingham Palace,Buckingham Palace,0.78,True
Edith Cresson became the first female Prime Minister of which European country?,France,France,0.83,True
Who was elected US President in November 2012?,Barack Obama,Barack Obama,0.95,True
"Bonham’s, Christies, Forbes and Fellows are are what type of business?",Auctioneers,Auction houses,0.95,True
The song ‘White Dress’ by Kanye West is from which 2012 martial arts film?,The Man With the Iron Fists,Dredd,0.42,False
In the George Orwell novel ‘Animal Farm’ who is the owner of Foxwood Farm?,Mr Pilkington,"Napoleon's brother, Squealer, or Mr Pilkington are not the correct answer, but rather it is actually Mr Jones' farmhand",0.41,True
Songwriter/manager/producer Stig Anderson was often known as the fifth member of which group?,Abba,ABBA,0.87,True
"What is the title of The Beatles first feature film, released in 1964?",A Hard Day’s Night,A Hard Day's Night,0.95,True
Vestiphobia is the irrational fear of which items?,Clothes,Clothing,0.62,True
The cathedral in which British city is known as ‘The Ship of the Fens’?,Ely,Peterborough,0.78,False
Which former US boxer is referred to as the ‘Poet laureate of boxing’?,Floyd Mayweather Sr,Joe Louis,0.79,False
Who was US President immediately before and after Benjamin Harrison?,Grover Cleveland,Grover Cleveland,0.95,True
The UK television drama series ‘Boys From the Black Stuff’ was set in which city?,Liverpool,Liverpool,0.79,True
"In April 1966, Bobbi Gibb became the first woman to run the entire distance of which marathon?",Boston Marathon,Boston Marathon,0.83,True
What type of creature is a cichlid?,Fish,Fish,0.93,True
People born on the 1st March have which sign of the Zodiac?,Pisces,Pisces,0.79,True
Who became the host of the UK television game show Blankety Blank in 1984?,Les Dawson,Les Dawson,0.73,True
Aladdin is a variety of which vegetable?,Potato,Gourd,0.62,False
Which US actor played the title role in the television police drama ‘T J Hooker’?,William Shatner,WILLIAM SHATNER,0.72,True
In which country is the River Darling?,Australia,Australia,0.95,True
What colour is the liqueur Galliano?,Yellow,Yellow,0.65,True
Scottish footballer Kenny Dalglish played for which English club from 1977 to 1990?,Liverpool FC,Liverpool,0.92,True
"How much, in pounds sterling, does the Best in Show Winner receive at the annual Crufts Dog Show?",100 pounds,"5,000 pounds",0.79,False
"In the 2002 FIFA World Cup, which national football team became the first team in the Asian Football Confederation to reach the World Cup semi-finals?",South Korea,South Korea,0.85,True
"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?",Lily Allen,Alfie Allen,0.95,True
Acmeism relates to poetry from the early 20th Century in which country?,Russia,Russia,0.73,True
How many definite suicides occur in the plays of William Shakespeare?,13,"At least 10, according to various sources.",0.73,False
Which US President is depicted on the Purple Heart military decoration?,George Washington,George Washington,0.95,True
Which boxer became the first to defeat Evander Holyfield in November 1992 to become undisputed Heavyweight Champion?,Riddick Bowe,Riddick Bowe,0.79,True
What is the name of the family’s pet goldfish in the US television cartoon series ‘American Dad’?,Klaus Heissler,Goldfish,0.59,False
"In the UK children’s television series ‘Button Moon’, on which planet does Mr Spoon and his family live?",Junk Planet,Earth,0.72,True
What the note is at the 12th fret of the 1st and 6th strings of a standard-tuned 6-string guitar?,E,A,0.79,False
What Greek mythological horse sprang from the blood of Medusa?,Pegasus,Pegasus,0.95,True
What was disestablished as the state religion of Japan after WWII?,Shinto,Shinto,0.75,True
Which sportsman won the fourth series of the British television show ‘Strictly Come Dancing’ in 2006?,Mark Ramprakash,"Pete Waterman's professional dance partner was Natasha Kaplinsky, but she did not win. The winner was actually Alesha Dixon with her partner Matthew Cutler.",0.42,False
The original Ferris Wheel was erected in which US state for the 1893 World’s Columbian Exposition?,Illinois,"Chicago, Illinois",0.73,True
"Which comedian/actor played the Doctor Who monster Abzorbaloff, which appeared in the 2006 episode ‘Love and Monsters’?",Peter Kay,Robert Bathurst,0.76,False
Which singer got her hair caught in the blades of a fan as she was performing in concert in Montreal in July 2013?,Beyonce,Ariana Grande,0.65,False
The 1992 film ‘Wayne’s World’ was a spin-off of a sketch from which US television show?,Saturday Night Live,Saturday Night Live,0.73,True
Which animal represents the deadly sin of envy?,Snake,Sphinx,0.56,False
Whose gang travel around in the Mystery Machine?,Scooby-Doo’s,The Scooby-Doo gang,0.95,False
Which country is known as The Hashemite Kingdom?,Jordan,Jordan,0.85,True
Which amphibian did the ancients believe could live in fire?,Salamander,Salamander,0.89,True
Who bought Donington Park’s Dunlop Bridge at a memorabilia auction?,Chris Evans,Michael Schumacher,0.59,False
What is the upper edge of the ship’s side next to the bulwarks called?,Gunwale,Gunwale,0.79,True
Which cigarette manufacturer used to boast of its tobacco ‘It’s Toasted’?,Lucky Strike,Winston,0.78,False
Which is the only internal organ that can regenerate itself?,Liver,Liver,0.78,True
In what race do cyclists follow a motorised pacer?,Keirin,Keirin,0.85,True
In which London thoroughfare is The Monument?,Pudding Lane,"Monument Street, but more commonly associated with Fish Street Hill or the junction of Cannon Street and King William Street near the River Thames.",0.43,False
Which city’s cathedral is the smallest Anglican cathedral in England?,Derby,Truro Cathedral,0.72,False
In which Scottish border town was seven-a-side rugby first played?,Melrose,Melrose,0.69,True
"ln the Bible Old Testament, who was the first High Priest of the Hebrews?",AARON,Aaron,0.73,True
Stella Rimington was the first female head of which organisation?,MI5,MI5,0.83,True
JB Who wrote the novel ‘Greenmantle’?,JOHN BUCHAN,John Buchan,0.83,True
Which is the highest mountain in North America?,MT MCKINLEY,Denali (formerly known as Mount McKinley),0.89,True
Which crop is attacked by the Colorado Beetle?,Potato,Potato,0.78,True
Which medical condition is sometimes known as Daltonism?,Colour Blindness,Red-Green Color Blindness,0.83,True
Which famous individual created the 'Blue Peter' sailing ship logo?,Tony HART,John Noakes,0.72,False
Under what name did the Japanese car company Nissan formerly sell its cars in the UK?,DATSUN,Datsun,0.8,True
What colour hair did Charles Dickens' character David Copperfield have?,RED,blonde,0.6,False
Which mythical beings were said to inhabit the slopes of Mount Etna?,CYCLOPS,The Cyclopes and the Centaurs,0.78,True
Which is the highest position in the Metropolitan Police?,Commissioner,Commissioner of Police of the Metropolis,0.95,True
Which Shaw play is set during the 1885 Serbo-Bulgarian War?,Arms and the Man,Arms and the Man,0.73,True
Which Michael Frayn play features a ‘play within a play’ entitled Nothing On?,Noises Off,Noises Off,0.92,True
Which serialised TV drama had a title that is a Lesbian slang term for oral sex?,Tipping The Velvet,Queer as Folk,0.73,False
"There were three major sieges in the Boer War – Mafeking, Kimberley and which other?",Ladysmith,Ladysmith,0.79,True
At which battle of 2 December 1805 did Napoleon defeat a combined Austrian-Russian army?,Battle of Austerlitz,Battle of Austerlitz,0.95,True
Which Orbison number was used in the David Lynch cult classic of 1986 Blue Velvet?,In Dreams,In Dreams,0.79,True
Which title character was named Dolores Haze?,Lolita,The Catcher in the Rye,0.72,False
What is the pleasant activity of osculation?,Kissing,kissing,0.95,True
What is the only natural food that never goes bad?,Honey,Honey,0.85,True
On a motorway what is the speed limit for a car towing a caravan?,60 mph,"60 mph in UK, varies by country",0.72,True
In England he’s a barrister – what is he in Scotland?,Advocate,solicitor,0.73,False
Which poet wrote The Whitsun Weddings?,Philip Larkin,Philip Larkin,0.83,True
Which bird was once called apteryx?,Kiwi,Kiwi,0.73,True
What do 4 roods equal?,An Acre,1 acre,0.72,False
Yarg and gevrik are cheeses from which county?,Cornwall,Turkey,0.62,False
Pantagruel was the son of which giant?,Gargantua,Gargantua,0.87,True
In the computer world what company is nicknamed Big Blue?,IBM,IBM,0.95,True
Which edible nut is found on a variety of Hickory Tree?,Pecan,Pecan,0.73,True
To which family of trees do junipers belong?,Cypress,Cupressaceae,0.92,True
"Which Thornbridge beer, gravity 5.9%, is named after an Indian city?",JAIPUR,Jaipur,0.95,True
"What was the name of Matilda’s teacher, who adopted her at the end of the book?",MISS HONEY,Miss Honey,0.79,True
A ‘gricer’ is a slang term for a what?,TRAINSPOTTER,"enthusiast, particularly of railways or trains",0.79,True
Anatomy. Where are the intercostal muscles situated?,Between the RIBS,Between ribs,0.92,True
Who wrote the 19th century novel ‘Anna Karenina’?,Leo TOLSTOY,Leo Tolstoy,0.92,True
"In ‘The Pink Panther’ films, what is the name of Clouseau’s manservant?",CATO,Cato,0.85,True
"Pr is the symbol for which chemical element, atomic number 59?",PRASEODYMIUM,Praseodymium,0.85,True
"… Wordsworth questioning whether it was a bird at all, “or but a wandering voice”?",CUCKOO,It's from his poem 'The Solitary Reaper',0.65,False
Which chemical compound is the active ingredient in agricultural lime?,CALCIUM CARBONATE,Calcium carbonate,0.83,True
Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,PARIS,Paris,0.65,True
"Which ‘P’ was the last king of Troy, according to Greek mythology?",PRIAM,Priam,0.73,True
"In the film ‘High Noon’, who has sworn to kill Will Kane (Gary Cooper)?",FRANK MILLER,Frank Miller,0.79,True
In which city are the administrative headquarters of the county of Cornwall?,Truro,Truro,0.83,True
Where in Europe is the Attila Line a major divide?,Cyprus,Romania/Hungary border,0.73,False
"Which article has parts called - cantle, skirt, flap and pommel?",Saddle,Saddle,0.87,True
Which King of Macedon a great military leader was reputedly never defeated in battle?,Alexander the Great,Alexander the Great,0.95,True
Which cartoon title character has a friend called Captain Haddock?,Tin Tin,Tintin,0.85,True
Which hit programme is filmed in a tent at Harptree Court in Somerset?,Great British Bake Off,Escape to the Chateau,0.43,False
Who presents the new BBC documentary Science Britannica?,Professor Brian Cox,Brian Cox and Dara O Briain,0.79,False
The Combination Acts of 1799-1800 were repealed in 1824 – what had they banned?,Trade Unions,Irish emigration and trade with Ireland,0.53,False
Which entertainer had a gospel minister character called Brother Lee Love?,Kenny Everett,Elvis Presley,0.72,False
I Drove All Night in 1993 was the last solo UK chart entry for which singer?,Roy Orbison,Nick Cave,0.72,False
Which 1976 Nobel laureate popularised Monetarist theory?,Milton Friedman,Milton Friedman,0.83,True
Saloth Sar was the real name of which infamous dictator?,Pol Pot,Pol Pot,0.85,True
Whose first appearance as James Bond was in The Living Daylights?,Timothy Dalton,Timothy Dalton,0.85,True
To whom is Gwyneth Paltrow married?,Chris Martin,Brad Falchuk,0.73,False
The characters Denisov and Dolokhov appear in which famous novel?,War and Peace,War and Peace by Leo Tolstoy,0.79,True
"In May, in which US state were three kidnapped women discovered and freed?",Ohio,Ohio,0.83,True
"Betty, Earl and Joyce are the puppet pensioners in ads for which company?",Wonga,SunLife,0.79,False
‘Hampsteads’ is Cockney rhyming slang for what?,teeth,Pond,0.65,False
Who made the first telephone call to the Moon?,Richard Nixon,"Neil Armstrong and Edwin 'Buzz' Aldrin, but not a phone call.",0.23,False
Pulex irritans is the Latin name for which insect?,flea,Flea,0.85,True
If you were performing an orison what would you be doing?,Praying,praying,0.73,True
An anchor hallmark on a valuable metal item denotes it was made in which city?,Birmingham,London,0.59,False
What was the name of the old Waddington’s game based on newspapers?,Scoop,Battleship,0.62,False
Which musical term means ‘very loud’?,Fortissimo,fortissimo,0.95,True
Which old English coin was equal to four pence?,Groat,Groat,0.73,True
"The TV characters Jack Ford, Trevor Chaplin and Jack Halford link which actor?",James Bolam,James Nesbitt,0.63,False
"On what can Gypsum, Calcite, Fluorite, Apatite and six others be classified?",Mohs Scale of Hardness,Minerals,0.95,True
Which actress featured in both autumn dramas River and Unforgotten?,Nicola Walker,Nicola Walker,0.72,True
Sofia Helin returned on BBC4 in the third series of which Scandinavian drama?,The Bridge,Wallander,0.73,False
Which islands were ceded to Britain by Spain in 1771?,The Falklands,The Falkland Islands and Gibraltar,0.78,False
"Released in 1974, what was the title of David Bowie’s eighth studio album/LP?",DIAMOND DOGS,David Live,0.65,False
"In the tv sitcom ‘Allo Allo!’, what was Rene’s surname?",ARTOIS,Aussieder,0.65,False
Who declared the 1936 summer Olympic Games open? (Both names required.),ADOLF HITLER,"Adolf Hitler, and Baillet-Latour",0.79,True
"In tennis, losing two sets 6-0 is known as a double what?",BAGEL,bagel,0.8,True
What type of food or drink is a macchiato?,COFFEE,an Italian coffee drink made with espresso and a small amount of milk,0.95,True
The books were Alice and Jerry in the USA – what were they here?,Janet and John,Alice and Jerry,0.64,False
Amanuensis is an archaic word for what profession?,Secretary,secretary,0.83,True
Which company was built into a world-wide organisation by Ray Kroc?,McDonalds,McDonald's,0.93,True
Which battle of 1897 brought Anglo-Egyptian control of Sudan?,Omdurman,Battle of Omdurman,0.79,True
"Fireworks that burn red contain which element, the only one named after a place in UK?",Strontium,Strontium,0.79,True
Which of the King George VI’s brothers died in 1942?,Duke of Kent,"Prince George, Duke of Kent",0.79,True
"If New York City is the 'Big Apple', which US city is the 'Big Pineapple'?",Honolulu,"Honolulu, Hawaii",0.5,True
Which American resort is nicknamed 'Sin City'?,Las Vegas,Las Vegas,0.83,True
Which torture chamber was invented by George Orwell?,Room 101,Burgess's torture chamber in the Ministry of Love from his novel Nineteen Eighty-Four,0.57,False
Which 1949 film was set on the Scottish island of Todday?,Whisky Galore,Whisky Galore!,0.83,True
Which film is set on the remote Hebridean island of Summerisle?,The Wicker Man,The Wicker Man,0.95,True
Cagliari is the capital of which island?,Sardinia,Sardinia,0.72,True
When first discovered what name was given to Tasmania?,Van Dieman’s Land,Van Diemen's Land,0.72,True
Which early aviator flew in a plane christened Jason?,Amy Johnson,"Charles Lindbergh did not fly the Spirit of St. Louis, but another famous aviator flew in a plane named Jason.",0.45,False
Red Grant was a villain in which James Bond movie?,From Russia With Love,For Your Eyes Only,0.72,False
Whose head was stuck on the roof of parliament after his body had been exhumed?,Oliver Cromwell,Oliver Cromwell,0.8,True
"Celandine, topaz and gamboge are shades of which colour?",Yellow,yellow,0.83,True
